trope	description	trope_url
Accidental Kidnapping	We didn't intend to kidnap that personnote we may have been after someone else, it was an accident and now we're just not sure what to do now!	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalKidnapping
Accidental Kiss	Oops! I kissed you!	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalKiss
Accidentally Broke The Mac Guffin	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentallyBrokeTheMacGuffin
Accidentally Correct Writing	The writers didn't care about getting their facts right, but by pure fluke they got them partially or completely right anyway.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentallyCorrectWriting
Accidentally Correct Zoology	A real species that resembles a fictional one is discovered later on.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentallyCorrectZoology
Accidental Marriage	Oops! I got married!	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalMarriage
Accidental Misnaming	Out of daftness, Bob refers to Alice by a name other than her own.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalMisnaming
Accidental Murder	A situation lacking lethal intent ends with someone dying anyway.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalMurder
Accidental Nightmare Fuel	It's scary at the time it happens. But it wasn't supposed to be.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalNightmareFuel
Accidental Pervert	I didn't mean to grope you, seriously!	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPervert
Accidental Pornomancer	A character who can't avoid sex, it just happens for them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPornomancer
Accidental Proposal	Alice does something which Bob mistakenly interprets as a marriage proposal.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalProposal
Accidental Public Confession	A large crowd overhears someone talking about a secret they shouldn't reveal.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPublicConfession
Accidental Pun	No pun intended.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalPun
Accidental Rhyme	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalRhyme
Accidental Theft	A character accidentally commits theft.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalTheft
Accidental Tickle Torture	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalTickleTorture
Accidental Time Travel	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalTimeTravel
Accidental Truth	Character tells truth thinking that it's a lie.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalTruth
Accidental Unfortunate Gesture	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalUnfortunateGesture
Accidental Ventriloquism	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentalVentriloquism
Accident Not Murder	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccidentNotMurder
Acclaimed Flop	A work that fails commercially despite being generally acclaimed by critics and audiences.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcclaimedFlop
Accomplice By Inaction	A character is out to get the other character for just doing nothing to save them.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccompliceByInaction
Accordion Man	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccordionMan
Accusation Fic	What the Hell, Hero?: The Fanfic	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccusationFic
Accuser Of The Brethren	The character who rejects The Atoner and refuses to let them forgive themself.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccuserOfTheBrethren
Accuse The Witness	A witness in a court case is accused of perpetrating the crime.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AccuseTheWitness
Ace Custom	Technology modified to fit an exceptionally talented user.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AceCustom
Ace Of Spades	Video Game: Team Fortress 2 meets Minecraft.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AceOfSpades
Ace Pilot	Improbable Piloting Skills personified.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcePilot
A Chat With Satan	A character tries to make our hero recognize their darker desires.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AChatWithSatan
Achey Scars	A scar hurts when a villain is around.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcheyScars
Achievement Mockery	Achievement Unlocked: You screwed up! Congratulations!	http://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementMockery
Achievements In Ignorance	A character accomplishes an Impossible Task because they didn't know it was impossible.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementsInIgnorance
Achievement System	Earning achievements in video games as an incentive to play better.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementSystem
Achievement Test Of Destiny	The test to end all tests.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AchievementTestOfDestiny
A Child Shall Lead Them	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AChildShallLeadThem
Achilles Heel	Character or object has one weak point. Time to hit.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AchillesHeel
Achilles In His Tent	A powerful team member quits, but returns to save the day just as the team needs their specific talents.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AchillesInHisTent
Achilles Power Cord	A device needing a power cord is a major weakness.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AchillesPowerCord
Acid Attack	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcidAttack
Acid Pool	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcidPool
Acid Reflux Nightmare	Bad food = Bad dreams.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcidRefluxNightmare
Acid Trip Dimension	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcidTripDimension
Acme Products	A Company that Makes Everything needed for the plot.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcmeProducts
A Commander Is You	You control the armies.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ACommanderIsYou
Acoustic License	The setting may be noisy, but the characters can hear each other perfectly fine.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcousticLicense
Acquainted In Real Life	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquaintedInRealLife
Acquainted With Emergency Services	A character is well-known by Emergency Services due to how often they see each other.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquaintedWithEmergencyServices
Acquired Error At The Printer	A small mistake made by a printing service leads to large embarrassment for the customer.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquiredErrorAtThePrinter
Acquired Poison Immunity	Taking poison over time to become immune.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquiredPoisonImmunity
Acquired Situational Narcissism	Popularity makes a character prideful.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquiredSituationalNarcissism
Acquitted Too Late	A character is found innocent after they die.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcquittedTooLate
A Crack In The Ice	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ACrackInTheIce
Acrofatic	An overweight character with surprising agility.	http://tvtropes.org/pmwiki/pmwiki.php/Main/Acrofatic
Acronym And Abbreviation Overload	TMSWEC* Too many shortened words equals confusion.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcronymAndAbbreviationOverload
Acronym Confusion	Mistaking one acronym/abbreviation for another.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcronymConfusion
Acronym Trope Names	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcronymTropeNames
Acrophobic Bird	A character capable of flight doesn't want to fly for some reason.	http://tvtropes.org/pmwiki/pmwiki.php/Main/AcrophobicBird
Act Break	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActBreak
Acting For Two	One person plays multiple roles in the same production.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingForTwo
Acting In The Dark	Actors aren't told about the nature of the work or their character to prevent it from affecting their performance.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingInTheDark
Acting Out A Daydream	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingOutADaydream
Acting Unnatural	Telling someone to act ordinary makes them act odd and obvious.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingUnnatural
Acting Your Intellectual Age	Intelligent children act a lot like adults.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActingYourIntellectualAge
Action Bar	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionBar
Action Based Mission	A mission which features a lot of action/combat, in a video game which mostly avoids action.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionBasedMission
Action Bomb	An enemy that blows itself up as an attack.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionBomb
Action Commands	Hit button on screen NOW, get results.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionCommands
Action Dad	One Badass father.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionDad
Action Dress Rip	The heroine cuts/tears off a piece of a long dress for better maneuverability during action sequences.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionDressRip
Action Duo	Capable badass meets ordinary person.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionDuo
Action Fashionista	Fashionable asskicker.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionFashionista
Action Figure File Card	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionFigureFileCard
Action Figure Speech	"""I have no mouth, but I need to indicate I am speaking."" *bobs up and down*"	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionFigureSpeech
Action Film Quiet Drama Scene	A quiet scene in an action episode that gives it substance.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionFilmQuietDramaScene
Action Genre	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGenre
Action Genre Hero Guy	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGenreHeroGuy
Action Girl	A Badass fighter who just happens to be female.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGirl
Action Girlfriend	A woman of your dreams enters your life... and kicks ass!	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionGirlfriend
Action Hero	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionHero
Action Hero Babysitter	Super Manly Action Hero placed in a traditionally feminine job or situation. Usually Played for Laughs.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionHeroBabysitter
Action Hogging Opening	The opening of a show has way more action than the show really has.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionHoggingOpening
Action Initiative	An RPG system that establishes who acts when, particularly in combat.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionInitiative
Action Insurance Gag	Lampshading the rampant destruction of property in action-oriented works by way of reference to insurance.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionInsuranceGag
Actionized Adaptation	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionizedAdaptation
Actionized Sequel	For the next installment, the action is amped up.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionizedSequel
Action Mom	One Badass mother.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionMom
Action Pet	A pet capable of kicking ass.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionPet
Action Politician	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionPolitician
Action Prologue	"An exciting beginning followed by the ""real"" story."	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionPrologue
Action Survivor	The Hero of the story is an Average Joe.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActionSurvivor
Activation Sequence	NA	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActivationSequence
Activist Fundamentalist Antics	The Fundamentalist isn't really helping matters.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActivistFundamentalistAntics
Act Of True Love	An act of sacrifice or high risk, motivated by love, which proves beyond a doubt that you put your loved one's needs before your own.	http://tvtropes.org/pmwiki/pmwiki.php/Main/ActOfTrueLove
