character_id	description	description_english
11	所属：シーシーエヌ株式会社	Affiliation: CCN Corporation
12	所属：太宰府市商工会青年部	Affiliation: Dazaifu City Chamber of Commerce and Industry
13	"所属：愛知県稲沢市

頭は稲沢市特産の植木とアシタバ、体全体はイチョウの黄色、はちまきとフンドシは “国府宮はだか祭”をイメージした稲沢の緑の精夢先案内人として、みんなを笑顔にすることを目標に頑張っている、まつりっこキャラ"	"Affiliation: Inazawa City, Aichi Prefecture

The head is Inazawa's special plant and ashitaba, the whole body is yellow of ginkgo, and Hachimaki and Fundoshi are Inazawa's green dream guides with the image of “Kokufu Palace Hadaka Festival” There is a Matsurikko character"
14	"所属：巣鴨地蔵通り商店街振興組合

巣鴨地蔵通り商店街のおもてなし委員長『すがもん』は鴨の国からやってきた12才の男の子。日本の商店街を元気にしたいがも～の思いで巣鴨で元気に修行中。“すがもんのおしりを触ると恋が実る”という都市伝説も！"	"Affiliation: Sugamo Jizo-dori Shopping District Promotion Association

Sugamon, the chairman of the hospitality committee at Sugamo Jizo-dori Shopping Street, is a 12-year-old boy from the country of duck. I want to rejuvenate the shopping streets of Japan, but I'm currently training in Sugamo. There's even an urban legend that says, ""If you touch Suganon's buttocks, you will get love!"""
15	"所属：一般社団法人天草宝島観光協会

天草のマスコットキャラクターとして頑張っているぬん♪天草の魅力を広めるために毎日奮闘中！美味しいものに目がなくて、おドジなぼくだけど一生懸命だぬん☆"	"Affiliation: Amakusa Takarajima Tourism Association

I'm working hard as Amakusa's mascot character ♪ I'm struggling every day to spread the charm of Amakusa! I have no eyes on delicious food, it's a ridiculous dumb but I'm working hard ☆"
16	"所属：石切参道商店街振興組合

大阪府親善大使もしててね、ご当地キャラ総選挙では全国女子キャラ１位になったの～♪今回は、ぐらんぷりのＰＲもさせてもらっているから、いっぱい頑張る～！ぐらんぷりでも女子キャラ１位になりたいなぁ♪"	"Affiliation: Ishikiri Sando Shopping Street Promotion Association

I am also a goodwill ambassador for Osaka Prefecture, and I was the number one female character nationwide in the local character general election. I want to be the first female character in Grand Prix♪"
17	"所属：宇都宮市

餃子のまち宇都宮市の花「サツキ」をモチーフにした妖精。自分をスーパーアイドルだと言い張るミヤリーは、相手が誰でも宇都宮をグイグイに押し売りしますが本人に悪気はありません。特技はギョーザダンス。"	"Affiliation: Utsunomiya City

A fairy with a motif of ""Satsuki"", a flower of dumplings in Utsunomiya City. Miyalie, who claims to be a super idol, sells Utsunomiya to Guigui regardless of who he is, but he is not ill at all. Special skill is gyoza dance."
18	"所属：群馬県

今年は、ぐんまちゃん誕生から２０年。世界文化遺産「富岡製糸場と絹産業遺産群」をはじめ、群馬県の魅力を多くの皆さんに知っていただけるよう、群馬県宣伝部長としてがんばっています。"	"Affiliation: Gunma Prefecture

This year has been 20 years since Gunma was born. I am doing my best as the Gunma Prefecture Advertising Department Manager so that many people can understand the charm of Gunma Prefecture including the world cultural heritage ""Tomioka Silk Mill and Silk Industry Heritage Group""."
19	"所属：菖蒲商工会青年部

花菖蒲をモチーフに勝負パンツをはいた「しょうぶパン鬼―」は、「あなたの人生の勝負を応援するキャラクター」として誕生しました。パンツを履き替えてみんなの願いをかなえます。"	"Affiliation: Shobu Chamber of Commerce and Industry

""Shobupan Oni"", which wore match pants with a motif of iris, was born as ""a character that supports the game of your life."" Change your pants to fulfill everyone's wishes."
20	"所属：佐野市

佐野らーめんのお椀の笠に、いもフライの剣を持った佐野の城下町に住む侍。世界に佐野の魅力をＰＲすべく笠には外国の方にもわかるようローマ字で「ＳＡＮＯ」と書かれている。表彰台のてっぺん目指して　はっしん。"	"Affiliation: Sano City

A samurai living in the castle town of Sano, holding a Sano Ramen bowl cap and a sword of potato flies. In order to publicize Sano's charm to the world, ""SANO"" is written in Roman letters so that foreigners can understand it. Aiming at the top of the podium Hasshin."
21	"所属：公益社団法人　島根県観光連盟

島根県観光キャラクターの「しまねっこ」にゃ！国宝の松江城や出雲大社、世界遺産の石見銀山がある「ご縁の国しまね」のいいところをたくさんのお友だちに知ってもらうためにがんばるにゃ！誰とでもすぐになかよくなれるから、見かけたら声をかけてにゃ！"	"Affiliation: Shimane Prefectural Tourism Federation

Shimane tourist character ""Shimaneko"" Nya! I'll do my best to let many friends know the good points of ""The Country Shimane"", where the national treasure Matsue Castle, Izumo Taisha Shrine, and the world heritage Iwami Ginzan are located! Anyone can quickly get better, so if you see me, call me out!"
22	"所属：豊岡市役所

みなさん、こんにちは！豊岡市の玄武洞公園から来た玄武岩の玄じゃよ！わしの夢は、美しい自然が守られることなんじゃ！豊岡の観光ＰＲと、山陰海岸ジオパークの普及啓発に日々奮闘しておるでぇ、よかったら応援よろしく頼むでぇ～！！"	"Affiliation: Toyooka City Hall

Hello everyone! It's a basalt rock that came from Genbudo Park in Toyooka! My dream is that beautiful nature is protected! We are struggling every day to promote tourism in Toyooka and to raise awareness of the Sanin Kaigan Geopark. !"
23	"所属：甲府鳥もつ煮でみなさまの縁をとりもつ隊

「みなさまの縁をとりもつ隊」のゆるキャラ「とりもっちゃん」！酒には強いが情にはもろい永遠の４０歳酉年。恋人・家族・地域すべての縁をとりもつことを使命として、甲府の魅力発信に日々奮闘中だっちゅこん！"	"Affiliation: Kofu Tori Motsuni is a party that holds your edge

""Torimo-chan"", the loose character of ""The team that holds your edge""! An eternal 40-year-old rooster year that is strong against liquor but fragile. Our mission is to connect with all of our lovers, families, and communities, and we are struggling every day to convey the charm of Kofu!"
24	"所属：館林市選挙管理委員会

市の鳥カルガモをモチーフに、頭には世界に誇るつつじの花。選挙を身近に感じてもらうため日本一暑いまち館林市で活動中。今年こそは上位入賞をめざして頑張るよ！投票してもらえたら、うれしいカモ？！"	"Affiliation: Tatebayashi City Election Commission

With the motif of the city bird Kadamo, the world's most famous azalea flowers are on its head. Active in Tatebayashi City, Japan's hottest town, to make the election feel familiar. This year I will do my best to win the top prize! Would you be glad if you could vote? !"
25	"所属：大阪・太子町

聖徳太子の時代からタイムスリップしてきた元気な男の子。手に持っているしゃくで頭をなでてもらうと良い事があるかも!?聖徳太子・日本遺産のまち大阪・太子町をよろしくおねがいしま～す！"	"Affiliation: Taishi Town, Osaka

A cheerful boy who has slipped in time since the days of Prince Shotoku. It may be nice to have your hands stroke your head!? Thank you for visiting Shotoku Taishi, the Japanese heritage town of Osaka and Taishi Town!"
26	"所属：阿賀野市

阿賀野市にそびえ立つ「五頭山」と、毎年「瓢湖」に飛来する「白鳥」をイメージしたキャラクターです。お米大好き！スポーツ大好き！頑張っている人を見ると羽をパタパタと振って応援するっちょ！"	"Affiliation: Agano City

The character is based on the image of ""Mt. Goto"" towering in Agano City, and ""Swan"" that flies to ""Hako Lake"" every year. I love rice! I love sports! When you see someone doing their best, they shake their wings and cheer up!"
27	"所属：厚木市

ボクは厚木のご当地グルメのシロコロホルモンのブタと名産品のアユがコラボしたあゆコロちゃんだよ～ん！花火や温泉、市の花サツキなど市の魅力がいっぱい詰まった手作りハッピが一番のお気に入り！"	"Affiliation: Atsugi City

I'm Ayu Koro-chan, a collaboration between Atsugi's local gourmet white-cold hormone pig and Ayu, a local specialty! The most favorite is the handmade happi, which is full of charm of the city, such as fireworks, hot springs, and Satsuki flowers."
28	"所属：小浜商工会議所　ななちゃん友の会

福井県小浜市のさばトラななちゃん人間の言葉が分かるので褒められると大喜び♪悪口言うと強力ネコだましパーンチ！されちゃいます！日向ぼっこや散歩、食べる事が大好き☆ポケットには大好物のへしこ鯖！"	"Affiliation: Obama Chamber of Commerce

Nana, a mackerel tiger in Obama City, Fukui Prefecture. I'm delighted when I'm praised because I can understand human words. Will be done! I love sunbathing, taking a walk and eating ☆ I love my favorite mackerel mackerel in my pocket!"
29	"所属：桶狭間古戦場保存会

織田信長と今川義元が戦った「桶狭間の戦い」の話にあこがれ、二人のコスプレをするようになったわんこ。地元の歴史を学び、史跡をめぐり、桶狭間を守る番犬となって活動しています。"	"Affiliation: Oke Sakuma Battlefield Preservation Society

Watching the ""Battle between Okeza"" battle between Nobunaga Oda and Yoshimoto Imagawa, Wanko began to cosplay as two people. We learn local history, go around historic spots, and act as guard dogs who protect Okezama."
30	"所属：竹富町観光協会

日本最南端の町・沖縄県竹富町に暮らすイリオモテヤマネコの男の子。お腹の模様は竹富町の島々の形をしています。大好きな竹富町の島々をPRする為、沖縄の暑さにも負けず、でーじ頑張り中！応援よろしくお願いします！"	"Affiliation: Taketomi Town Tourism Association

A boy of the Iriomote wildcat that lives in Taketomi Town, Okinawa Prefecture, the southernmost town in Japan. The belly pattern is shaped like the islands of Taketomi. We are promoting the islands of our favorite Taketomi-cho, so we are doing our best to keep up with the heat of Okinawa! Please provide some support!"
31	"所属：成田市観光プロモーション課

成田市特別観光大使として合言葉「うな。」の一言とともに大好きな成田を熱烈ＰＲ。今年こそ目指せＮＯ．1！みなさまぜひ応援を！うな。"	"Affiliation: Narita City Tourism Promotion Division

As a Narita City special tourism ambassador, he enthusiastically publicized his favorite Narita along with a word, ""Una."" Aim this year NO. 1! Please cheer us up! Una."
32	"所属：青森県弘前市観光政策課

青森県弘前市のマスコットキャラクター、たか丸くんです!!普段は弘前城天守をかぶっているけど、現在石垣修理の工事をしているから、ぼくもヘルメットをかぶって工事に協力しているよ!!弘前城天守は移動したので見ることができるよ!!"	"Affiliation: Tourism Policy Division, Hirosaki City, Aomori Prefecture

I'm Takamaru, the mascot character of Hirosaki City, Aomori Prefecture!! I usually wear the Hirosaki castle tower, but since I'm currently working on repairing a stone wall, I'm also wearing a helmet and I'm cooperating with it! The Hirosaki castle tower has moved, so you can see it!!"
33	所属：能登野菜応援プロジェクト	Affiliation: Noto Vegetable Support Project
34	"所属：和倉温泉観光協会

和倉温泉を発見したとされるシラサギが生んだ和倉温泉をこよなく愛するキャラクター。オレンジ色のバッグにはお友達の温泉たまごが3つ入っています。「ワクワク、ランラン、ゆっくり過ごそ。」が合言葉です。"	"Affiliation: Wakura Onsen Tourism Association

A character who loves Wakura Onsen, which was created by the egret who was said to have discovered Wakura Onsen. The orange bag contains 3 of my friend's hot spring eggs. The excitement is ""Waku Waku, Ran Ran, Slowly Slowly."""
35	"所属：十日町市　観光交流課

僕は「第４５回十日町雪まつり」を記念して生まれた、十日町雪まつりのキャラクターのネージュだよ。生みの親は「ZUCCa」ブランドで有名な小野塚秋良（おのづかあきら）さん。ネージュはフランス語で「雪」って意味で僕は雪の妖精なんだ。十日町市内のイベントＰＲなど季節を問わず活動しているよ。"	"Affiliation: Tokamachi City Tourism Exchange Division

I'm Neige, the character of the Tokamachi Snow Festival, born in commemoration of the ""45th Tokamachi Snow Festival"". The creator is Akira Onozuka, who is famous for the ""ZUCCa"" brand. Neige is French and means ""snow"". I'm a snow fairy. We are active regardless of the season such as event PR in Tokamachi city."
36	"所属：株式会社坂井商店 

もち-うさぎは新潟県内のとあるお餅屋さんで生まれた桜餅のうさぎです。今年16歳になりました。中にはこしあんとやさしさがいっぱい詰まっています。住んでいる弥彦村の公認キャラとして観光PRをがんばっています。"	"Affiliation: Sakai Shoten Co., Ltd.

Mochi-Rabbit is a cherry blossom mochi rabbit born in a rice cake shop in Niigata Prefecture. I turned 16 this year. There is a lot of softness and gentleness inside. I am doing my best to promote tourism as an official character of the Yahiko village where I live."
37	"所属：浜松市

拙者は、浜松で過ごした１７年間を足掛かりに出世した「天下の大将軍 徳川家康公」の生まれ変わりと言われているのじゃ。拙者のうなぎのちょんまげには家康公の出世パワーが宿っておる。今年はホームで大出世じゃ！"	"Affiliation: Hamamatsu City

My name is said to be the reincarnation of ""Teikawa Tokugawa Ieyasu,"" a warlord who succeeded in living in Hamamatsu for 17 years. The power of Ieyasu's success is in the eel. It’s a big success at home this year!"
38	"所属：ビバシティ専門店街

ビバシティ専門店街に出没し、コスプレ好きという一面をもつビーバー。パパやママ、妹のチェビーと仲良く暮らしているそう。陽気な性格でいたずら好きなため、たまにママに怒られることもあるとか。周囲からたまに、たぬきやモグラと間違われるのがたまにキズ。"	"Affiliation: Viva City Specialty Store Street

A beaver who has appeared in the Viva City specialty store district and has the aspect of being a cosplay lover. He seems to live in harmony with his dad, mom and sister Chevy. Because she has a cheerful personality and likes mischief, she is sometimes mad by her mom. Occasionally it is mistaken for raccoon dogs and moles from the surrounding area."
39	"所属：奈良県大和高田市

「未来」を「みく」とよんで名付けられたみくちゃんの名前には、”大和高田市が未来へはばたきますように”という願いがこめられているよ♪現在「未来へはばたき大使」として活動中♪応援よろみく♪"	"Affiliation: Yamatotakada City, Nara Prefecture

Miku-chan, who has been named ""Miku"" for ""future"", has a wish ""I hope Yamatotakada City will fly to the future""♪ Currently acting as ""Flame Ambassador to the future"" ♪ Cheer up ♪"
40	"所属：埼玉県

埼玉県のマスコット「コバトン」は、県民の鳥「シラコバト」をモチーフに県内高校生のデザインから２０００年に誕生。以来どこに行っても大人気。埼玉県出身の宇宙飛行士若田光一さんと宇宙へも行きました。"	"Affiliation: Saitama

Saitama Prefecture's mascot ""Covaton"" was born in 2000 from the design of high school students in the prefecture, with the motif of the bird ""Shirakobato"" of the prefecture. It has been very popular everywhere since then. I also went to space with astronaut Koichi Wakata from Saitama prefecture."
41	"所属：アロハガス株式会社

アロ～ハ！アロハガスをPRするためハワイからやってきたよ。サングラスにぷっくりピンク色の唇がチャームポイント！スパム大好き！ヤシの木大好き！みんなの笑顔大好き！僕を見かけたらハングルーズしてみてね。"	"Affiliation: Aloha Gas Co., Ltd.

Alo~ha! I'm from Hawaii to promote Alohagas. Plump pink lips on sunglasses are the charm point! I love spam! I love palm trees! I love everyone's smile! If you see me, try Hanglues."
42	"所属：千葉ショッピングセンターC-one

いたずら好きで、女性好きで、食いしん坊。ある日突然、C-oneむらに落ちてきた記憶喪失のワンちゃんです。「ボクのスター性を世界に知らしめて、全国区のキャラになりたいワン★応援よろしくわんだふぉー★」"	"Affiliation: Chiba Shopping Center C-one

I like mischief, I like women, I'm a glutton. One day, a dog with amnesia that suddenly fell into C-one. ""I want to let the world know my star character and become a character in the whole country."
43	所属：美浜町観光協会	Affiliation: Mihama Town Tourism Association
44	所属：コアックマプロジェクト	Affiliation: Koakkuma Project
45	"所属：新座市役所観光推進課

ゾウのようですが、体の模様がキリンに似ている不思議な生き物です。「雑木林とせせらぎのあるまち新座」の雑木林を“ゾウキリン”と読み間違えてやってきて、居心地の良さにそのまま住みついてしまったそうです。"	"Affiliation: Niiza City Hall Tourism Promotion Division

It looks like an elephant, but it's a strange creature whose body pattern resembles a giraffe. He misunderstood the woods of ""Niiza, a city with thick trees and murmuring"" as ""elephant giraffe,"" and he seemed to have settled down in comfort."
46	"所属：丹波市

　2006年に丹波市で恐竜化石が発見され、生まれたのが丹波竜のちーたんなんだ。　体のしましま地層模様に化石のアップリケをつけているんだよ。　ちーたんのお尻のハートマークにタッチすると、きっといい事があ・る・よ！"	"Affiliation: Tamba City

In 2006, a fossil dinosaur was discovered in Tamba City, and it was born that Tamba Dragon's chitan was born.　We have fossil appliqués on the Shimashima geological pattern on our body. Touching the heart symbol on Chitan's butt will surely bring you good things!"
47	"所属：仙台・宮城観光キャンペーン推進協議会

仙台・宮城の美味しいお米でふっくら炊き上げた『おむすび』顔に伊達政宗公の兜飾りが特徴の、仙台・宮城観光ＰＲキャラクターですよ。宮城のオススメ観光情報やボクのお仕事の様子はＳＮＳで発信しています！"	"Affiliation: Sendai/Miyagi Tourism Campaign Promotion Council

It is a PR character for sightseeing in Sendai/Miyagi that features the ""Omusubi"" face cooked fluffy with delicious rice from Sendai/Miyagi and the helmet decoration of Date Masamune. Information on recommended sightseeing in Miyagi and the state of my work are sent on SNS!"
48	"所属：亀岡市観光戦略課

京都亀岡の魅力をたくさんのお友だちに知ってもらうため日々がんばっています。フェイスブックも毎日更新中！「いいね！」よろしくお願いします！"	"Affiliation: Kameoka City Tourism Strategy Division

I work hard every day to let many friends know the charm of Kameoka, Kyoto. Facebook is being updated daily! ""Like!"" Thank you!"
49	所属：唐津市	Affiliation: Karatsu City
50	"所属：旭川市

『旭川をハッピーに』彼の名前はあさっぴー。彼は元々ゴマフアザラシ。ヒーローになる事を願ったある日，ホッキョクグマの力と旭川の名物を身にまとい今の姿に。狙うは１位だ！ゆけ！あさっぴー！！"	"Affiliation: Asahikawa

""Make Asahikawa happy"" His name is Asapphi. He was originally a harbor seal. One day when I hoped to become a hero, I wore the power of polar bears and Asahikawa's specialty, and I am in my current state. The aim is 1st place! Go! Asappi! !"
51	所属：株式会社アイ・シー・シー	Affiliation: ICC Inc.
52	"所属：潮来市

潮来（いたこ）市の「水郷潮来あやめ園」に住むあやめの花の妖精で、実はお姫様。立派な女王様になるため、潮来のいいとこを探して、お供のよしきりと日々修行中！将来の夢は「嫁入り舟」でお嫁に行くことっ♪"	"Affiliation: Itako City

A fairy of iris flowers that lives in ""Suigo Itako Ayame Garden"" in Itako City, and is actually a princess. In order to become a respectable queen, she is looking for a good man with Itako and is training daily with her companion! My dream for the future is to go to the bride with a wedding boat♪"
53	"所属：君津市

千葉県君津市のマスコットキャラクター｢きみぴょん｣だよっ！お耳は市の花ミツバツツジになってるの！楽しいことは何でも気になるからいろんなところに遊びに行っちゃうよっ♪ツイッターでも情報発信中！"	"Affiliation: Kimitsu

It's Kimitsu, a mascot character in Kimitsu, Chiba! Your ears are honey flowers of the city! I'm curious about anything that's fun, so I'm going to visit various places ♪ I'm sending information on Twitter!"
54	"所属：川西市

「きんたくん」は、源氏発祥の地、兵庫県川西市に、坂田金時（幼名・金太郎）という武将の墓があることから、誕生しました。３歳の元気いっぱいの男の子で、川西で採れるいちじくや桃が大好きです。"	"Affiliation: Kawanishi City

""Kinta-kun"" was born from the fact that there is a grave of a warlord, Kintoki Sakata (Kintaro), in Kawanishi City, Hyogo Prefecture, the birthplace of Genji. A 3-year-old cheerful boy who loves figs and peaches from Kawanishi."
55	所属：	Belong to:
56	所属：羽生市キャラクター推進室	Affiliation: Hanyu City Character Promotion Office
57	"所属：鴬宿温泉観光協会

岩手県雫石町・鶯宿温泉に住んでいるオスのうぐいす”ケキョきち”です。やんごとなき事情で留年してしまいました。今年も小学4年生でがんばるぞ～！。"	"Affiliation: Tsubukujuku Onsen Tourism Association

It is a male Uguisu ""Kekyo Kichi"" who lives in Uzukujuku Onsen, Shizukuishi Town, Iwate Prefecture. I have been repeating myself for a long time. I'll do my best in the fourth year of elementary school this year too! .."
58	"所属：京都府

京都府の公式キャラクター「まゆまろ」です。こう見えて公務員。推定年齢はなんと２０００歳！おっちょこちょいでのんびり屋。でも努力家なので一生懸命何事にも挑戦します！"	"Affiliation: Kyoto Prefecture

This is the official character ""Mayumaro"" from Kyoto Prefecture. It looks like this and is a civil servant. The estimated age is 2000! A small and leisurely shop. But I'm a hard worker, so I'll try anything hard!"
59	"所属：ゆる玉応援団よしみんサポート委員会

フレッシュでラッキーないちごの妖精です。古代ロマンの吉見百穴と特産品の苺とあぶら味噌が大好きです。幻想的なひかりごけと苺のスイーツもイチ押しですよって宣伝する町PR大使にもなってまーす！ヨロシクね！"	"Affiliation: Yurutama Cheering Group Yoshimin Support Committee

A fairy with a fresh and lucky strawberry. I love the ancient romance of Yoshimi Hyakken and the special products strawberry and oil miso. I'm also a town PR ambassador who advertises the fantastic hikarigoke and strawberry sweets! nice to meet you!"
60	"所属：やぶ市観光協会

やっぷーは、国家戦略特区に指定された養父市のキャラクター！大自然をモチーフにした氷ノ山に住む森の妖精。のんびり屋でおっとりした性格だけど、スキー・スノボはプロ級の腕前☆みんな応援よろしくぷ〜♪"	"Affiliation: Yabu City Tourism Association

Yapoo is the character of Yabu City, which has been designated as a National Strategic Special Zone! A forest fairy living on Mount Hino with the motif of nature. Although he has a relaxed personality at a leisurely ski, skiing and snowboarding are professional grade skills"
61	"所属：本州四国連絡高速道路

本四連絡橋キャラクターとして「わたろう、せとうち」をキャッチフレーズに身長2m、体重120ｋの寸胴短足な見た目からは想像できない軽快なダンスで、せとうちの魅力を各地でPRしてます。応援お願いします。"	"Affiliation: Honshu-Shikoku Expressway

With the catchphrase ""Wataro, Setouchi"" as the character of the Hon-Shihoku Bridge, we are promoting the charm of Setouchi in various places with a light dance that can not be imagined from the appearance of a short body with a height of 2 m and a weight of 120 k. Please support us."
62	"所属：市川三郷町

こんにちは！市川三郷町ＰＲキャラクターの「市川三郷レンジャーです」！それぞれの顔は、町特産品の大塚にんじん・花火・印章をイメージしています！元気でおちゃめなメタボヒーロー！みんな投票よろしくね！"	"Affiliation: Misato Ichikawa

Hello! ""Ichikawa Misato Ranger"" of the Ichikawa Misato Town PR character! Each face has the image of Otsuka carrots, fireworks, and seals, which are special products of the town! Cheerful and foolish Metabo Hero! Please vote for everyone!"
63	"所属：石川県小松市

歌舞伎「勧進帳」に登場する弁慶がモデルのカブッキー。日々大好きな小松市の魅力を発信しています。カブッキーの好きな言葉でもある「難関突破」の精神で、今年も上位目指して頑張ります！！"	"Affiliation: Komatsu City, Ishikawa Prefecture

Kabuki is a model of Benkei that appears in the Kabuki ""Koujincho"". I send the charm of Komatsu City, which I love every day. With the spirit of ""breakthrough"", which is one of Kabukki's favorite words, I will do my best to aim for higher ranks this year as well! !"
64	"所属：株式会社フエンテ

びわこのかたちの「びわこぐま」びわこにこぐまの顔を描いたら「びわこぐま」になっちゃった。滋賀県を勝手に応援してるけど頑張り過ぎるとたいへんだからボチボチやってまーす！！"	"Affiliation: Fuente Co., Ltd.

""Biwakoguma"" in the form of Biwako When I drew a bear's face on Biwako, it became ""Biwakoguma"". I'm supporting Shiga Prefecture without permission, but if I try too hard, it's hard, so I'll do it! !!"
65	"所属：犬山市観光協会 

全国でも市の名前に「犬」とう漢字が入るのは愛知県犬山市だけ。そんな犬山をPRするために誕生したわん丸君は柴犬がモチーフ。特技は肉球ハイタッチ。ちょんまげはさわると良いことがあると巷で話題に。"	"Affiliation: Inuyama City Tourism Association

Only in Inuyama City, Aichi Prefecture, there are kanji in the name of the city. Wanmaru, who was born to promote Inuyama, has a Shiba Inu motif. Special skill is a high touch of the paws. There is a good thing that touching a little is a topic in the street."
66	"所属：豊川市観光協会

ボクいなりん☆トレードマークは背中のお米だリン☆豊川市宣伝部長として、ボクの大好きな豊川市と豊川いなり寿司の魅力を全国のみんなに伝えるため、毎日頑張ってるだリン☆みんな応援よろしくだリン☆"	"Affiliation: Toyokawa City Tourism Association

I'm Inari ☆ The trademark is rice on my back Rin ☆ As the Toyokawa City Advertising Manager, I'm doing my best every day to convey the charm of my favorite Toyokawa City and Toyokawa Inari Sushi to everyone in the country Rin ☆ Support everyone. Rin☆"
67	"所属：兵庫県

根っからの元気者で、チャレンジ精神旺盛。どんなところへも顔を出して人なつっこい笑顔を振りまきます。「兵庫の魅力や元気を全国に発信するために毎日頑張ってるタン！みんな、応援よろしく☆」ｂｙはばタン"	"Affiliation: Hyogo

He is an energetic person and has a strong challenge spirit. Put your face on everywhere and sprinkle a friendly smile. ""Tan is working hard every day to disseminate the charm and energy of Hyogo to all of Japan! Everyone, support me ☆"" by hatan"
68	"所属：笠松町役場

笠松町の笠松みなと公園で誕生して以来、いつも一緒にお出かけする仲良しな双子の兄妹。頭にかぶった黄色い「笠」の上に、緑の「松」でふるさと「笠松」を表現しています。皆さんからの応援待ってます！"	"Affiliation: Kasamatsu Town Hall

Since I was born in Kasamatsu Minato Park in Kasamatsu Town, my twin brothers and sisters have always been friends. The green ""pine"" is used to express the hometown ""Kasamatsu"" on the yellow ""hat"" worn over the head. We are waiting for your support!"
69	"所属：紀北町観光協会

みえけんきほくちょうの”きーほくん”です。頭にまんぼうの”マンボーヤ”が住んでいる”にこいちキャラ”♪マンボーヤのピンクの口にさわるといいことがあるかも☆後ろのヒレにさわるとマンボーヤの鳴き声が！？"	"Affiliation: Kihoku Town Tourism Association

This is ""Kiehokun"" from Mieken. ""Nikoichi Chara"" where the manboya of the manbo live in the head. It may be good to touch the pink mouth of the manboya. ?"
70	"所属：吹田市

なにわの伝統野菜「吹田くわい」がモチーフです！「ビールと操車場のまち」「千里ニュータウンと万博のまち」として発展した吹田をどんどんＰＲします。２０１３Ｊリーグ、万博記念競技場でガンバ大阪を応援中！"	"Affiliation: Suita City

The motif is the traditional Naniwa vegetable ""Sukita Kuwai""! We will continue to promote Suita, which has developed as a ""town for beer and marshalling yard"" and ""Senri New Town and Expo"". Supporting Gamba Osaka at the 2013 J League World Expo Stadium!"
71	"所属：さいたま市

クリテリウムや国際マラソン、トリエンナーレに世界盆栽大会、全部開催のするのはさいたま市だけヾ(-^ヌ^-)ノ鉄道も人形も、さいたま市の魅力をぜーんぶ伝えていくよッ(≧ヌ≦)！！"	"Affiliation: Saitama City

Criterium, International Marathon, Triennale, World Bonsai Tournament are all held only in Saitama City ヾ (-^nu ^-)no Railway and dolls will convey all the charm of Saitama City (≧nu) ≤)! !!"
